Review,Clean_Text,Sentiment
"Emerald Fennell is a very very posh person. She's from extraordinary wealth. To take nothing away from her achievements as a filmmaker (Promising Young Woman was a terrific, difficult watch and rightly lauded) - but going in knowing that and then coming out the other side of this morally disturbing parable, it's a troubling setting and one that irks me.The two most obvious antagonists are the type of people you'd typically be rooting for in a film about rich vs poor, and the fact it's turned on its head doesn't feel like an innovative step - it feels like the exact opposite. It feels like someone from enormous privilege trying to redress the balance, almost like a propaganda piece.It's beautifully shot. It's really well acted. It's a solidly entertaining (if broadly unoriginal) little film, but as someone NOT from the world of Saltburn - it left a sour taste.",emerald fennel posh person she extraordinari wealth take noth away achiev filmmak promis young woman terrif difficult watch rightli laud go know come side moral disturb parabl troubl set one irk meth two obviou antagonist type peopl youd typic root film rich v poor fact turn head doesnt feel like innov step feel like exact opposit feel like someon enorm privileg tri redress balanc almost like propaganda pieceit beauti shot realli well act solidli entertain broadli unorigin littl film someon world saltburn left sour tast,Negative
"Yes, it's derivative, and yes, if you have even moderate familiarity with movies from the last few decades you will think ""The Talented Mr. Ripley"" fairly early during its runtime. However, for the most part, I enjoyed it. Barry Keoghan never disappoints me. Whether he is playing a suicidal dullard in ""The Banshees of Inisherin"" or a psychotic mastermind in this movie (and many other roles in between), he is always brilliant.For me, unfortunately its third act is probably its most memorable feature because it requires an enormous suspension of disbelief. Rosamund's Elspeth character invites Keoghan's Oliver character into her home yet again even though his history there is unbelievably dubious. She claimed that she felt guilty about his exile, but one wonders about her motives. Was she trying to have sex with him at that point? Rosamund Pike is an ageless, gorgeous woman, and her character had endless wealth--she didn't need an average-looking poor guy in her life. Also, why did she sign away her fortune to him so quickly? Was she not suspicious about her sudden illness with him in her life again? The butler, who observes everything obsessively, remained a presence there. Even if Elspeth took leave of her senses, wouldn't he intercede? The third act defies any sort of logic.But again, it was worth watching.",ye deriv ye even moder familiar movi last decad think talent mr ripley fairli earli runtim howev part enjoy barri keoghan never disappoint whether play suicid dullard banshe inisherin psychot mastermind movi mani role alway brilliantfor unfortun third act probabl memor featur requir enorm suspens disbelief rosamund elspeth charact invit keoghan oliv charact home yet even though histori unbeliev dubiou claim felt guilti exil one wonder motiv tri sex point rosamund pike ageless gorgeou woman charact endless wealthsh didnt need averagelook poor guy life also sign away fortun quickli suspici sudden ill life butler observ everyth ob remain presenc even elspeth took leav sen wouldnt interced third act defi sort logicbut worth watch,Positive
"There is a lot of hype about this movie, and a lot of talk about how some of the scenes are not for the feint hearted and that it is full of twists and turns. I was lured in for all the wrong reasons and knew very little else about Saltburn when I sat down to watch it.My score of 3 is entirely for the cast. I can't fault any of them. Sadly that is only positive I can draw from this awful film.The twists - I saw all of them coming, most are heavily contrived, and none felt shocking in the slightest.The 'not for the feint hearted' stuff - Sucking ejaculate from a draining bath plug, eating menstrual blood, having sex with a recently filled grave! It is all gratuitous and for shock value only. Yet, without these scenes there is literally nothing else going on.Saltburn is a seriously dull watch, the humour is barely present at all. I would have turned off after about an hour, but having got that far I stayed in hope of a clever ending. Nothing clever here, in fact, rather than clever they went for nonsensical. As if no one would suspect that the new guy would be behind all the deaths so he could get his hands on the estate.Boring journey, weak plot, dull twists, and gratuitous scenes do not make for a good watch.3/10 for the cast 0/10 for the film.",lot hype movi lot talk scene feint heart full twist turn lure wrong reason knew littl el saltburn sat watch itmi score entir cast cant fault sadli posit draw aw filmth twist saw come heavili contriv none felt shock slightestth feint heart stuff suck ejacul drain bath plug eat menstrual blood sex recent fill grave gratuit shock valu yet without scene liter noth el go onsaltburn serious dull watch humour bare present would turn hour got far stay hope clever end noth clever fact rather clever went nonsens one would suspect new guy would behind death could get hand estatebor journey weak plot dull twist gratuit scene make good watch cast film,Negative
"I was willing to get involved in the story, but there was no story, just stuff happening, most of it unexplained, most of it silly and ridiculous, not shocking at all, just boring.I rewrote it in my head to make it make a little more sense, as the crumbs we are told and shown have so many holes they're sieves.He read about Saltburn, saw pictures, wanted to go there, yes, maybe already making plans to own it. THAT'S why he fixates on Felix (the 'happy'), recognising him for who he is. He wants to BE him, that's what the silly sexual stuff is about, unification, amalgamation with the desired natural born status, looks, etc.Thing is, this was all nothing. This was not a film about a psychopath, because that is shown in a 30 second collage towards the end, motivation never explained. Are we supposed to think it's jealousy? Bit lame. All we got up to that point is that he is a manipulator and a liar. The 'twist' is neither surprising nor shocking, it just takes you completely out of the film, because it's not gelled right. Several different movies and plotlines, and at the end it's an uninteresting mess.We are introduced to Oliver as a too straight nerd who wants to be part of the in-crowd. Okay, so we tag along, even believing that Felix likes him (because he's not a fanboy).As soon as we get to Saltburn the film loses credibility. Too much, too brash, too over-the-top, too silly, too boring.Story not told well, whatever it was. I sure don't care.",will get involv stori stori stuff happen unexplain silli ridicul shock boringi rewrot head make make littl sen crumb told shown mani hole theyr sievesh read saltburn saw pictur want go ye mayb alreadi make plan that fixat felix happi recognis want that silli sexual stuff unif amalgam desir natur born statu look etcth noth film psychopath shown second collag toward end motiv never explain suppos think jealousi bit lame got point manipul liar twist neither surpris shock take complet film gell right sever differ movi plotlin end uninterest messw introduc oliv straight nerd want part incrowd okay tag along even believ felix like he fanboya soon get saltburn film lose credibl much brash overthetop silli boringstori told well whatev sure dont care,Positive
"Sometimes you come across a filmmaker whose works you just don't like. And now, after two features in, I can honestly say that about writer-director Emerald Fennell. I didn't care much for her debut outing, ""Promising Young Woman"" (2020), and I can say the same (and more) about her follow-up effort, ""Saltburn."" This alleged thriller about a seemingly awkward but quietly sinister Oxford student (Barry Keoghan) who ingratiates himself into a family of wealthy English aristocrats features a story and characters about whom, quite frankly, I couldn't care less. (Think ""The Killing of a Sacred Deer"" (2017) with a cast of eccentric old money cronies and a wolf in sheep's clothing.) This assemblage of utterly reprehensible characters living utterly reprehensible lives and zealously adhering to utterly reprehensible values fails to endanger viewer empathy, interest or even connection. Much of the narrative is predictable and glacially paced, incorporates sequences that are included for little more than forced shock value, features monodimensional and blatantly obvious (almost trite) character development, and frequently stumbles in attempts at humor that are wedged in largely for the sake of convenience or calculatedly timed comic relief. It's the kind of picture that prompts regular looks at one's watch to see how much more one must endure and delivers welcome sighs of relief when the end finally comes. What's more, given the combined talent pool for this production, it's a genuine shame to see the likes of Rosamund Pike, Carey Mulligan and Richard E. Grant relegated to supporting roles in which their abilities are sorely underused. And then there's the excessively hammy performance of Keoghan, who's quite obviously (and knowingly) acting and not disappearing into the bona fide portrayal of a character. In all, this offering feels like a picture that tries awfully hard to see how much it can get away with, especially when seeking to invoke dropped jaws among audience members, much as this director's cinematic predecessor attempted to do. Save your money, and don't waste your time on this vastly overrated release from a vastly overrated filmmaker.",sometim come across filmmak whose work dont like two featur honestli say writerdirector emerald fennel didnt care much debut outing promis young woman say followup effort saltburn alleg thriller seemingli awkward quietli sinist oxford student barri keoghan ingrati famili wealthi english aristocrat featur stori charact quit frankli couldnt care le think kill sacr deer cast eccentr old money croni wolf sheep cloth assemblag utterli reprehens charact live utterli reprehens live zealous adher utterli reprehens valu fail endang viewer empathi interest even connect much narr predict glacial pace incorpor sequenc includ littl forc shock valu featur monodimension blatantli obviou almost trite charact develop frequent stumbl attempt humor wedg larg sake conveni calculatedli time comic relief kind pictur prompt regular look one watch see much one must endur deliv welcom sigh relief end final come what given combin talent pool product genuin shame see like rosamund pike carey mulligan richard e grant releg support role abil sore underus there excess hammi perform keoghan who quit obvious knowingli act disappear bona fide portray charact offer feel like pictur tri aw hard see much get away especi seek invok drop jaw among audienc member much director cinemat predecessor attempt save money dont wast time vastli overr releas vastli overr filmmak,Positive
"Saltburn, directed by Emerald Fennell (who brought us the excellent A Promising Young Woman), is a psychological thriller drama that attempts to navigate the maze-like world of the English aristocracy, but unfortunately, it loses its way. The film stars Barry Keoghan as Oliver Quick, a scholarship student at Oxford University, and Jacob Elordi as Felix Catton, a charming aristocrat who invites Oliver to spend a summer at his family's sprawling estate, Saltburn.Saltburn is set in the mid-2000s, a period marked by some economic and cultural decadence. It attempts to explore the clash of social classes, moral vacuity, and the seductions of wealth. However, the film's historical and cultural context feels superficial, failing to delve more deeply into the societal dynamics of the time. Despite being promising, the plot suffers from predictability and a lack of subtlety. The film tries to play with the idea of these enormous bastions of privilege and power as unique breeding grounds for strangeness, but it doesn't quite hit the mark. Forced and repetitive dialogues, which frequently feel artificial and contrived, further weaken the narrative.Despite having talented actors portraying them, the characters lack depth. Oliver, played by Keoghan, is a hateful, lustful, and envious character, but his portrayal is flat and uncomplicated. Felix, played by Elordi, is a character who comes from a life of blatant privilege, but his flimsy compassion does not seem real.Although Fennell's direction is bold, it lacks the dexterity required to make this intricate story come to life. The film's pacing is erratic; certain scenes seem rushed, while others drag on needlessly. The movie's soundtrack seems haphazard and does not improve the story. The movie also occasionally goes a bit too far in terms of taste and may have you cringing.The cinematography and production design are perhaps the film's strongest points. The grandeur of Saltburn, the sprawling estate, is captured beautifully, and the film does a commendable job of creating a lived-in feeling that feels glamorous and filthy at the same time. These artistic components, however, are insufficient to make up for the film's weak narrative.Saltburn is a film that promises much but delivers little. Despite its grand setting and talented cast, it fails to provide a compelling narrative or engaging characters. It's a film that tries to be a critique of the English aristocracy and a psychological thriller but falls short on both counts. While it may appeal to some viewers for its aesthetic appeal, it's a film that, unfortunately, doesn't live up to its potential. It's not a film I'd recommend.",saltburn direct emerald fennel brought u excel promis young woman psycholog thriller drama attempt navig mazelik world english aristocraci unfortun lose way film star barri keoghan oliv quick scholarship student oxford univers jacob elordi felix catton charm aristocrat invit oliv spend summer famili sprawl estat saltburnsaltburn set mid period mark econom cultur decad attempt explor clash social class moral vacuiti seduct wealth howev film histor cultur context feel superfici fail delv deepli societ dynam time despit promis plot suffer predict lack subtleti film tri play idea enorm bastion privileg power uniqu breed ground strang doesnt quit hit mark forc repetit dialogu frequent feel artifici contriv weaken narrativedespit talent actor portray charact lack depth oliv play keoghan hate lust enviou charact portray flat uncompl felix play elordi charact come life blatant privileg flimsi compass seem realalthough fennel direct bold lack dexter requir make intric stori come life film pace errat certain scene seem rush other drag needlessli movi soundtrack seem haphazard improv stori movi also occasion goe bit far term tast may cringingth cinematographi product design perhap film strongest point grandeur saltburn sprawl estat captur beauti film commend job creat livedin feel feel glamor filthi time artist compon howev insuffici make film weak narrativesaltburn film promis much deliv littl despit grand set talent cast fail provid compel narr engag charact film tri critiqu english aristocraci psycholog thriller fall short count may appeal viewer aesthet appeal film unfortun doesnt live potenti film id recommend,Positive
"Take a bit of A Separate Peace, The Talented Mr. Ripley, Brideshead Revisited, Howards End and many more, mix them up into a rather incoherent story, and you get this over-the-top bit of fluff. The problems are too numerous to mention, but the most glaring is that there's not a tad of credibility in the set-up. Stories that involve someone of one class mixing it up with someone of another must show there's a connection between the two people: that part is completely skipped over here. There's no connection at all between the two major characters. The bond is never explained.Then there's the issue of character: no one in the film is a real person: all of them are pawns to serve the grand plot which, when dissected, falls apart. These aren't people; they're vehicles for the screenwriter (director, producer, etc) to show off an interesting but ultimately flawed story.So much else is wrong with this movie but to give them all away would be to contain spoilers, and the reviews that are most worthwhile here at IMDB are the ones that warn the reader off a show.Consider yourself warned.",take bit separ peac talent mr ripley brideshead revisit howard end mani mix rather incoher stori get overthetop bit fluff problem numer mention glare there tad credibl setup stori involv someon one class mix someon anoth must show there connect two peopl part complet skip there connect two major charact bond never explainedthen there issu charact one film real person pawn serv grand plot dissect fall apart arent peopl theyr vehicl screenwrit director produc etc show interest ultim flaw storyso much el wrong movi give away would contain spoiler review worthwhil imdb one warn reader showconsid warn,Positive
"It is 2006, and scholarship student Oliver Quick has just arrived at Oxford. He doesn't fit in with the upper-class atmosphere and has no acquaintances. After befriending Felix Catton, a popular and wealthy fellow student, however, Oliver finally seems to find his place at the University. Invited to the Catton family home- Saltburn- for the summer holidays, Oliver is thrust into the dark heart of the blue bloods. Nothing is as it seems though, as the idyllic vacation transforms into one from hell itself.Written and directed by Emerald Fennell, 'Saltburn' is an initially intriguing, though ultimately irritatingly derivative, predictable psychological comic-horror. Fennell's narrative begins with promise. In the first act, you aren't sure who to trust, nor where the story is heading. However, after the action moves to the manor house, Saltburn, things devolve into a messy and obvious retread of ideas that have been expressed more eloquently in previous films, be they 'The Talented Mr. Ripley, 'Teorema' or 'The Servant.'Those films examined themes such as class difference, obsessiveness, personality and manipulation with aplomb and ingenuity. Fennell appears content to skirt around the edges of these themes, never going into them with depth. Nor are the characters in her narrative provided with any kind of motivation for their actions. One, in particular, acts in a violent vacuum of self-obsession and jealously- but why? What made this character the way they are? Fennel never bothers to tell us, seeming satisfied to leave audiences in the dark.Moreover, her characterization is largely based on stereotypes and cliches. Oliver is essentially just a less charismatic, Scouse Tom Ripley, with darkness beneath a thin veneer of awkward shyness. Felix is exactly like Ripley's object of obsession, Dickie Greenleaf, while his eccentric family are people we've seen before in countless films which mock the aristocracy- 'The Ruling Class' among them. Familiar and lacking in depth, Fennell's characters aren't particularly interesting, nor is her narrative particularly original. Further, while her dialogue is frequently funny, it can also be pretentious- particularly during Oliver's intermittent narration.Throughout the film, Fennell handles the material with great deference- too much, one might argue. She lets uncomfortable scenes linger interminably, seeming to think this imbues them with some kind of raw power. The ending, featuring full-frontal nudity- reminiscent of the music video to Liam Gallagher's 'Once,' starring a thankfully clothed Eric Cantona- seems self-indulgent and, shall we say, cocky. Furthermore, a twist in the last act is neither surprising nor effective, while also sending the film into the realm of fantasy; so completely does it abandon real-world logic.Conversely, Linus Sandgren's glossy cinematography is striking. Sandgren makes excellent use of colours and unconventional shots and angles, heightening the suspense of the narrative, as well as compounding the decadence of the Catton family. He employs a ratio of 1.33:1, giving the film a top-heavy, boxed-in look, making locations feel daunting. It is work full of contrast- although, a cynical critic might suggest an over-reliance on cliched visual metaphors, such as reflections, or the obvious juxtaposition of characters wearing devil horns and angel wings.However, Sandgren's visuals generally come as a boon to proceedings, as does Suzie Davies' rich production design. Textured and detailed, her work fosters a vivid, immersive atmosphere, which Sophie Canale's costume design and Charlotte Dirickx's set decoration compounds. In addition, Anthony Willis's score is stirring. His original pieces are seedy and evocative, while songs used throughout- perhaps most notably Sophie Ellis-Bextor's 'Murder On The Dancefloor'- complement the narrative.Barry Keoghan stars as Oliver, alongside Jacob Elordi as Felix, Alison Oliver as Felix's sister Venetia and Rosamund Pike as Felix's mother Elspeth. Keoghan is a fascinating actor, who plays strange characters with verve and intelligence. Here, however, he gives an inconsistent performance. When playing Oliver as a weird, insular personality, he shines; though when he has to display his dominant side Keoghan lacks conviction and doesn't convince- an oddly played, oddly written night-time scene with Venetia being clearest evidence of this.Elordi does much more assured work, despite the fact that the character is just a 2006 version of the aforementioned Greenleaf. He impresses though, overcoming the scant characterisation of the role. Oliver is excellent, underplaying the complexities of her character, while Pike steals the show as the eccentric Elspeth. Richard E. Grant also stars, as Felix's father, but is criminally under-utilised, while Archie Madekwe's grating performance as Felix's cousin is smug and one-note.In conclusion, Emerald Fennell's 'Saltburn' is a film trying to provoke, though isn't as challenging nor original as its creator thinks it is. Though it is funny from time to time, and the first act is intriguing and suspenseful; the film is ultimately an uneven, predictable and derivative affair. While the cinematography is striking and the score atmospheric, the performance of star Barry Keoghan is inconsistent. Although Rosamund Pike is a delight, the film around her is not worthy of her talents, nor can she save it completely. Not to rub salt in the wound, but this film doesn't burn as brightly as it could have.",scholarship student oliv quick arriv oxford doesnt fit upperclass atmospher acquaint befriend felix catton popular wealthi fellow student howev oliv final seem find place univers invit catton famili home saltburn summer holiday oliv thrust dark heart blue blood noth seem though idyl vacat transform one hell itselfwritten direct emerald fennel saltburn initi intrigu though ultim irritatingli deriv predict psycholog comichorror fennel narr begin promis first act arent sure trust stori head howev action move manor hous saltburn thing devolv messi obviou retread idea express eloqu previou film talent mr ripley teorema servantthos film examin theme class differ ob person manipul aplomb ingenu fennel appear content skirt around edg theme never go depth charact narr provid kind motiv action one particular act violent vacuum selfobsess jealous made charact way fennel never bother tell u seem satisfi leav audienc darkmoreov character larg base stereotyp clich oliv essenti le charismat scous tom ripley dark beneath thin veneer awkward shyness felix exactli like ripley object ob dicki greenleaf eccentr famili peopl weve seen countless film mock aristocraci rule class among familiar lack depth fennel charact arent particularli interest narr particularli origin dialogu frequent funni also pretenti particularli oliv intermitt narrationthroughout film fennel handl materi great defer much one might argu let uncomfort scene linger intermin seem think imbu kind raw power end featur fullfront nuditi reminisc music video liam gallagh star thank cloth eric cantona seem selfindulg shall say cocki furthermor twist last act neither surpris effect also send film realm fantasi complet abandon realworld logicconvers linu sandgren glossi cinematographi strike sandgren make excel use colour unconvent shot angl heighten suspens narr well compound decad catton famili employ ratio give film topheavi boxedin look make locat feel daunt work full contrast although cynic critic might suggest overreli clich visual metaphor reflect obviou juxtaposit charact wear devil horn angel wingshowev sandgren visual gener come boon proceed suzi davi rich product design textur detail work foster vivid immers atmospher sophi canal costum design charlott dirickx set decor compound addit anthoni willis score stir origin piec seedi evoc song use throughout perhap notabl sophi ellisbextor murder dancefloor complement narrativebarri keoghan star oliv alongsid jacob elordi felix alison oliv felix sister venetia rosamund pike felix mother elspeth keoghan fascin actor play strang charact verv intellig howev give inconsist perform play oliv weird insular person shine though display domin side keoghan lack convict doesnt convinc oddli play oddli written nighttim scene venetia clearest evid thiselordi much assur work despit fact charact version aforement greenleaf impress though overcom scant characteris role oliv excel underplay complex charact pike steal show eccentr elspeth richard e grant also star felix father crimin underutilis archi madekw grate perform felix cousin smug onenotein conclus emerald fennel saltburn film tri provok though isnt challeng origin creator think though funni time time first act intrigu suspens film ultim uneven predict deriv affair cinematographi strike score atmospher perform star barri keoghan inconsist although rosamund pike delight film around worthi talent save complet rub salt wound film doesnt burn brightli could,Positive
"Other reviewers use the word ""derivative"" a lot to describe this film. They're not wrong! And my God this is a tedious film to try to get through! The so-called twist at the end is anything but. There's absolutely no reward at the end for sticking with this grotesque and uninteresting film. The suspenseful bits aren't suspenseful. The funny bits aren't funny and the sexy bits aren't sexy. The only thing the film maker succeeded at was making the grotesque parts nauseatingly grotesque. There's not one interesting nor sympathetic character in the bunch. There's no reason to care about what happens to any of them! A complete waste of time!",review use word deriv lot describ film theyr wrong god tediou film tri get socal twist end anyth there absolut reward end stick grotesqu uninterest film suspens bit arent suspens funni bit arent funni sexi bit arent sexi thing film maker succeed make grotesqu part nauseatingli grotesqu there one interest sympathet charact bunch there reason care happen complet wast time,Positive
"Just Got out of a Packed Saltburn Screening.WARNING 🚫🛀 - This Film Has Multiple Nasty Moments . There were Multiple Gasps and Audible ""oh god"" moments from the Audience 👅😳Quick Side Note - I have no Problems with this Script and Twist, but looking back, it's just not executed very well due to the lack of development, actions and dialogue prior to the Closing of the Film.So, Positives First -1. 🦇 The Gothic Production Design was Outstanding, Coupled with the Cinematography, Some Great Camera Work and there were Several Gorgeous Shots. That Scene with Barry Keoghans' Character(Oliver) Walking Towards Venetia and it had almost a Blue Tint to it was Outstanding. That Particular Scene had this Strong Gothic Vibe to it.2. 🎾 The Performances were Good Across the Board, Barry Keoghan, Jacob Elordi, Alison Oliver, Archie Madekwe, Richard E Grant, all Good. Rosamund Pike was Exceptionally Good.3. 😆 Many of the Comedic Moments worked and had parts of the audience laughing and 1 particular Joke Got a Belly Laugh out of the Audience ""It was all too Wet"" - by Rosamund Pike 😂🤣4. I loved the Funeral Scene with the ""Butler Knows who did it, Stare from afar"" Scene. (The Writer did a little spin on the Butler did it😏)On to the NegativesNegatives -1. 🚩One of the Main Problems I have with this Film, is I didn't really buy Barry Keoghans' Character(Oliver) being Infatuated(in a normal way, not the Gross out Stuff) with Jacob Elordis' Character(Felix). It just didn't come across on screen that way.2. 🚩But you're probably saying, ""But, he never really loved him anyway, so who cares?"" Ok, so he hated him right? So why is he Drinking His Juice out of the Bathtub🛁😳 and Laying (and that's Putting it nicely) on top of his Grave? So is Oliver Mentally ill? But he seemed to have come from a somewhat stable household. 🙇🤷3. 🚩Another big Problem with the film is that, what is Olivers Motivation? Did he want the Money & Lifestyle? Did he want to Punish this Family? What Exactly did he want? The Plotline does need subtlety yes, but for this particular point, it needs to have a motivation. By the End, The Film doesn't really Convey this. It's all Confusion. 😕4. 🚩The Supposed Danger of Oliver Having an Affair with Rosamund Pikes' character(Elsbeth) was not there at all. A compliment here and there is not enough. On top of that, they could of done more with this angle.5. Moreover, the way in which Oliver Embedded himself into the Family, wasn't done that well.6. For me, when a Certain Character Dies and the Subsequent Scenes after His Death. The Film Just sort of fell apart (for me). It went from Build, Build, Build, ""Ok this is Ok, were building towards something"", then the Death Happens and then some scenes happen and then I thought to myself ""Sigh, the films Level just went down 1 or 2 Levels""😔7. 🤦🏻 Near The Very Ending with the Montage ""of Events"" was just not the way to Do That. Don't Give us everything in the Span of 5 Minutes. The Writer of this Film needed to keep those points more Subtle and ambiguous, so we can think about it after we've left the Cinema and say ""oh yeah, that's why he did this & that.....""Overall, I Loved the Production Design and Cinematography but Some of the Character Development and Motivations were Lacking and the Plotline lacked Subtlety when it needed it, and also Lacked Emphasis when it needed it.",got pack saltburn screeningwarn 🚫🛀 film multipl nasti moment multipl gasp audibl oh god moment audienc 👅😳quick side note problem script twist look back execut well due lack develop action dialogu prior close filmso posit first 🦇 gothic product design outstand coupl cinematographi great camera work sever gorgeou shot scene barri keoghan characteroliv walk toward venetia almost blue tint outstand particular scene strong gothic vibe 🎾 perform good across board barri keoghan jacob elordi alison oliv archi madekw richard e grant good rosamund pike except good 😆 mani comed moment work part audienc laugh particular joke got belli laugh audienc wet rosamund pike 😂🤣 love funer scene butler know stare afar scene writer littl spin butler it😏on negativesneg 🚩one main problem film didnt realli buy barri keoghan characteroliv infatuatedin normal way gross stuff jacob elordi characterfelix didnt come across screen way 🚩but your probabl say never realli love anyway care ok hate right drink juic bathtub🛁😳 lay that put nice top grave oliv mental ill seem come somewhat stabl household 🙇🤷 🚩anoth big problem film oliv motiv want money lifestyl want punish famili exactli want plotlin need subtleti ye particular point need motiv end film doesnt realli convey confus 😕 🚩the suppos danger oliv affair rosamund pike characterelsbeth compliment enough top could done angl moreov way oliv embed famili wasnt done well certain charact die subsequ scene death film sort fell apart went build build build ok ok build toward someth death happen scene happen thought sigh film level went levels😔 🤦🏻 near end montag event way dont give u everyth span minut writer film need keep point subtl ambigu think weve left cinema say oh yeah that thatoveral love product design cinematographi charact develop motiv lack plotlin lack subtleti need also lack emphasi need,Positive
"Scouser student Oliver (Barry Keoghan, who is not English but Irish) arrives at Oxford University where he sticks out like a sore thumb (""he's a scholarship boy and buys his clothes from Oxfam"" sniffs one plummy-voiced deb). Despite this he attracts the attention of Home Counties aristocrat Felix (Jacob Elordi, who is not English but Australian/Spanish) who takes him to his family's country pile - the titular stately home - where Oliver meets Felix's family of stereotypical English aristos: vague mother, mad father, nymphomanic sister, American cousin (Archie Madekwe, who is not American but English/Nigerian/Swiss). At first even more out-of-place than he was at Oxford, Oliver quickly becomes used to life at Saltburn. But for how long will he be welcome there?Watching this at the 2023 London Film Festival, I found it reminded me of various other films: the obvious one is 'The Talented Mr Ripley' (1999), but there are also aspects of 'Wild Things' (1998) and 'The Riot Club' (2014). Despite this, 'Saltburn' does stand on its own two feet, principally because Oliver's motives are ambiguous and, unlike 'Ripley', there is a vein of comedy throughout (sometimes unintentionally: a scene of Oliver drinking bathwater into which Felix has just ejaculated had the audience falling about, but I am not sure that was the intention of writer/director/producer Emerald Fennell!) I also appreciated that Fennell avoids the reverse-discrimination trap of making rich folk exclusively nasty but instead shows that - hey! - aristocrats have feelings too! Felix, especially, is sympathetically-drawn. If I have any criticism it is that at over two hours the film is over-long - after the birthday party sequence it seems the film has reached a natural conclusion, although there is, it turns out, good reason for it to carry on... perhaps a few of the mid-way scenes could have been cut.The supporting players are gifted with enjoyable parts - standouts are Carey Mulligan as a drug-addled socialite and Paul Rhys (who, thirty years ago, would have been a natural to play Oliver) as a straight-laced butler. Those actors essaying accents not their own do a good job - Elordi's rich-boy drawl, in particular, is convincing. And as for leading man Keoghan - the lengthy sequence during which he dances nude to 'Murder on the Dance Floor' is likely to be one of the most-discussed scenes of the film.",scouser student oliv barri keoghan english irish arriv oxford univers stick like sore thumb he scholarship boy buy cloth oxfam sniff one plummyvo deb despit attract attent home counti aristocrat felix jacob elordi english australianspanish take famili countri pile titular state home oliv meet felix famili stereotyp english aristo vagu mother mad father nymphoman sister american cousin archi madekw american englishnigerianswiss first even outofplac oxford oliv quickli becom use life saltburn long welcom therewatch london film festiv found remind variou film obviou one talent mr ripley also aspect wild thing riot club despit saltburn stand two foot princip oliv motiv ambigu unlik ripley vein comedi throughout sometim unintent scene oliv drink bathwat felix ejacul audienc fall sure intent writerdirectorproduc emerald fennel also appreci fennel avoid reversediscrimin trap make rich folk exclus nasti instead show hey aristocrat feel felix especi sympatheticallydrawn critic two hour film overlong birthday parti sequenc seem film reach natur conclus although turn good reason carri perhap midway scene could cutth support player gift enjoy part standout carey mulligan drugaddl socialit paul rhi thirti year ago would natur play oliv straightlac butler actor essay accent good job elordi richboy drawl particular convinc lead man keoghan lengthi sequenc danc nude murder danc floor like one mostdiscuss scene film,Positive
"Things we learned:1) The police force today has a similar detecting ability and use of technology as the 60s. It's surprisingly easy to get away with multiple murders.2) Big Stately homes don't have complicated lines of succession/inheritance.3) When someone starts acting bizarre for no apparent reason, that's a big turn on.4) Sucking bodily fluids from various orifices and surfaces is a really sound metaphor , great satire and not a substitute for character development.5] films are not derivative if they interlace scenes with good cinematography and some arty music. It is does not mask an incredibly shallow and dull plotted movie.6) the pay off can be obvious and on the nose as long as it does it to a quirky dance number naked a la American Psycho.7) wasting such enormous talents on such a banal and empty script is not a crime.",thing learn polic forc today similar detect abil use technolog surprisingli easi get away multipl murder big state home dont complic line successioninherit someon start act bizarr appar reason that big turn suck bodili fluid variou orific surfac realli sound metaphor great satir substitut charact develop film deriv interlac scene good cinematographi arti music mask incred shallow dull plot movi pay obviou nose long quirki danc number nake la american psycho wast enorm talent banal empti script crime,Positive
"SaltburnNow this was an interesting film. It's a mind game. It's manipulation. And it's nefarious. Be prepared to squirm Be prepared to gasp. Be prepared to say ""oh dear God"" a few times. The movie follows a very shy and quiet Oxford student on his quest to fit in. After a school year, he is invited to join his new friend at his family's enormous castle where we definitely see him in a fish out of water situation.Then things... happen. Oh boy do they happen. This is all I'm going to say but be prepared for a wild ride, and don't be squeamish. I enjoyed this, but it really deserves its R rating. It's very adult and highlights the depths human beings can go, regardless of material wealth.You know I love to find the human experience presented, possibly with a lesson in mental health awareness. Oh God no. Perhaps there is awareness, but there is no lesson.Rosamund Pike does steal the show. Her one liners are absolutely hilarious.Enjoy the ride.",saltburnnow interest film mind game manipul nefari prepar squirm prepar gasp prepar say oh dear god time movi follow shi quiet oxford student quest fit school year invit join new friend famili enorm castl definit see fish water situationthen thing happen oh boy happen im go say prepar wild ride dont squeamish enjoy realli deserv r rate adult highlight depth human be go regardless materi wealthyou know love find human experi present possibl lesson mental health awar oh god perhap awar lessonrosamund pike steal show one liner absolut hilariousenjoy ride,Positive
"I really don't understand why this movie is getting such rave reviews on here. Yes, it was very stylish, the music was great, and the acting was good. But the storyline was a HUGE disappointment. I kept waiting for something to happen, and when it finally did I was severely underwhelmed and disappointed that that was the direction the filmmakers went. It's overplayed, not creative or interesting. I saw the movie ""Parasite"" and I LOVED it. This movie just seemed like a cheap and trashy knock off with some bizarre scenes thrown in there for ""shock value"". Watch it if you want to see what all the buzz is about, but I'm just saying you might be left disappointed and wishing you would've spent 2.5 hours of your time on something else.",realli dont understand movi get rave review ye stylish music great act good storylin huge disappoint kept wait someth happen final sever underwhelm disappoint direct filmmak went overplay creativ interest saw movi parasit love movi seem like cheap trashi knock bizarr scene thrown shock valu watch want see buzz im say might left disappoint wish wouldv spent hour time someth el,Negative
